Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3106205618312]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106205618312]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106205618312]	ACS	8.0	1.00	0.0	0.0	8.0	7.4	0.0
[3106200023477]	eSF	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200023477]	eSB	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200023477]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023477]	ACS	10.0	0.00	0.0	0.0	10.0	9.6	0.0
[3106200023485]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200023485]	eSB	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200023485]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023485]	ACS	15.0	0.00	0.0	0.0	15.0	14.8	0.0
[3106200023493]	eSF	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023493]	eSB	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200023493]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023493]	ACS	9.0	1.00	0.0	0.0	9.0	8.4	0.0
[3106200022632]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200022632]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200022632]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022632]	ACS	20.0	1.00	0.0	0.0	20.0	19.1	0.0
[3106200022624]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200022624]	eSB	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200022624]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022624]	ACS	20.0	1.00	0.0	0.0	20.0	19.3	0.0
[3106200022705]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200022705]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200022705]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022705]	ACS	14.0	1.00	0.0	0.0	14.0	13.2	0.0
[3106200022713]	eSF	6.0	0.00	0.0	0.0	6.0	5.8	0.0
[3106200022713]	eSB	4.0	0.00	0.0	0.0	4.0	3.8	0.0
